ID_Cliente,Cod_Cliente,Desc_Cliente,Cod_Cidade,Desc_Cidade,Cod_Estado,Desc_Estado,Cod_Regiao,Desc_Regiao,Cod_Segmento,Desc_Segmento
1,10493761705,Rede Nacional Postos Porto Alegre,Porto Alegre,Porto Alegre,RS,Rio Grande do Sul,Sul,Sul,Lojas de Conveniência,Lojas de Conveniência
2,10760990760,Rede Nacional Postos Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
3,11504339738,Rede Posto Mania Campinas,Campinas,Campinas,SP,São Paulo,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
4,12805717724,Supermercados Bom e Barato Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Supermercados,Supermercados
5,13332132717,Rede Drogas Brasil Belo Horizonte,Belo Horizonte,Belo Horizonte,MG,Minas Gerais,Sudeste,Sudeste,Farmácias,Farmácias
6,2078365742,Rede Drogas Brasil Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Farmácias,Farmácias
7,2373471728,Big Balada Sucos São Paulo,São Paulo,São Paulo,SP,São Paulo,Sudeste,Sudeste,Lanchonetes,Lanchonetes
8,2379494746,Tem de Tudo Supermercados Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Supermercados,Supermercados
9,25198076600,Lanches Up Belo Horizonte,Belo Horizonte,Belo Horizonte,MG,Minas Gerais,Sudeste,Sudeste,Lanchonetes,Lanchonetes
10,2930317701,Rede Posto Mania Belo Horizonte,Belo Horizonte,Belo Horizonte,MG,Minas Gerais,Sudeste,Sudeste,Lojas de Conveniência,Lojas de Conveniência
11,29863333700,Rede Drogas Brasil Campinas,Campinas,Campinas,SP,São Paulo,Sudeste,Sudeste,Farmácias,Farmácias
12,3040980351,Fast Lanches Campo Grande,Campo Grande,Campo Grande,MS,Mato Grosso do Sul,Centro Oeste,Centro Oeste,Lanchonetes,Lanchonetes
13,30780411749,Super Mania Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Sudeste,Lanchonetes,Lanchonetes
14,31292046791,Rede Posto Mania Goiais,Goiais,Goiais,GO,Goiais,Centro Oeste,Centro Oeste,Lojas de Conveniência,Lojas de Conveniência
