ID_Produto,Cod_Produto,Desc_Produto,Cod_Marca,Atr_Tamanho,Atr_Sabor,Cod_Categoria,Desc_Marca,Desc_Categoria
13,1051518,Frescor do Verão - 470 ml - Limão,Frescor do Verão,470 ml,Limão,Mate,Frescor do Verão,Mate
14,1078680,Frescor do Verão - 470 ml - Manga,Frescor do Verão,470 ml,Manga,Mate,Frescor do Verão,Mate
15,235653,Frescor do Verão - 470 ml - Manga,Frescor do Verão,470 ml,Manga,Mate,Frescor do Verão,Mate
16,544931,Frescor do Verão - 350 ml - Limão,Frescor do Verão,350 ml,Limão,Mate,Frescor do Verão,Mate
17,1037797,Clean - 2 Litros - Laranja,Clean,2 Litros,Laranja,Suco de Frutas,Clean,Suco de Frutas
18,479745,Clean - 470 ml - Laranja,Clean,470 ml,Laranja,Suco de Frutas,Clean,Suco de Frutas
19,773912,Clean - 1 Litro - Laranja,Clean,1 Litro,Laranja,Suco de Frutas,Clean,Suco de Frutas
20,812829,Clean - 350 ml - Laranja,Clean,350 ml,Laranja,Suco de Frutas,Clean,Suco de Frutas
21,838819,Clean - 1,5 Litros - Laranja,Clean,1,5 Litros,Laranja,Suco de Frutas
22,1022450,Festival de Sabores - 2 Litros - Açai,Festival de Sabores,2 Litros,Açai,Suco de Frutas,Festival de Sabores,Suco de Frutas
23,231776,Festival de Sabores - 700 ml - Açai,Festival de Sabores,700 ml,Açai,Suco de Frutas,Festival de Sabores,Suco de Frutas
24,243083,Festival de Sabores - 1,5 Litros - Maracujá,Festival de Sabores,1,5 Litros,Maracujá,Suco de Frutas
25,695594,Festival de Sabores - 1,5 Litros - Açai,Festival de Sabores,1,5 Litros,Açai,Suco de Frutas
26,723457,Festival de Sabores - 700 ml - Maracujá,Festival de Sabores,700 ml,Maracujá,Suco de Frutas,Festival de Sabores,Suco de Frutas
27,1040107,Light - 350 ml - Melância,Light,350 ml,Melância,Suco de Frutas,Light,Suco de Frutas
28,746596,Light - 1,5 Litros - Melância,Light,1,5 Litros,Melância,Suco de Frutas
29,229900,Pedaços de Frutas - 350 ml - Maça,Pedaços de Frutas,350 ml,Maça,Suco de Frutas,Pedaços de Frutas,Suco de Frutas
30,520380,Pedaços de Frutas - 1 Litro - Maça,Pedaços de Frutas,1 Litro,Maça,Suco de Frutas,Pedaços de Frutas,Suco de Frutas
31,788975,Pedaços de Frutas - 1,5 Litros - Maça,Pedaços de Frutas,1,5 Litros,Maça,Suco de Frutas
32,1002767,Videira do Campo - 700 ml - Cereja/Maça,Videira do Campo,700 ml,Cereja/Maça,Suco de Frutas,Videira do Campo,Suco de Frutas
33,1004327,Videira do Campo - 1,5 Litros - Melância,Videira do Campo,1,5 Litros,Melância,Suco de Frutas
34,1013793,Videira do Campo - 2 Litros - Cereja/Maça,Videira do Campo,2 Litros,Cereja/Maça,Suco de Frutas,Videira do Campo,Suco de Frutas
35,290478,Videira do Campo - 350 ml - Melância,Videira do Campo,350 ml,Melância,Suco de Frutas,Videira do Campo,Suco de Frutas
